418	435	32	+
403	925	32	+
714	877	32	+
34	754	32	+
173	264	32	+
253	474	32	+
322	327	32	+
15	255	32	+
604	623	32	+
90	807	32	+
262	367	32	+
73	667	32	+
290	857	32	+
431	906	32	+
21	387	32	+
158	247	32	+
433	567	32	+
585	958	32	+
576	824	32	+
71	176	32	+
61	567	32	+
521	909	32	+
625	918	32	+
356	626	32	+
661	715	32	+
365	592	32	+
59	272	32	+
590	880	32	+
595	995	32	+
75	681	32	+
65	737	32	+
172	978	32	+
756	873	32	+
334	516	32	+
31	728	32	+
345	945	32	+
801	965	32	+
599	749	32	+
162	485	32	+
549	608	32	+
41	668	32	+
41	837	32	+
668	837	32	+
286	593	32	+
18	814	32	+
226	415	32	+
97	425	32	+
97	665	32	+
97	843	32	+
425	665	32	+
425	843	32	+
665	843	32	+
401	518	32	+
16	472	32	+
514	516	32	+
71	218	32	+
592	683	32	+
592	755	32	+
683	755	32	+
628	695	32	+
628	824	32	+
695	824	32	+
651	682	32	+
275	571	32	+
542	741	32	+
235	350	32	+
599	713	32	+
212	861	32	+
417	826	32	+
194	849	32	+
561	1002	32	+
177	722	32	+
377	855	32	+
553	741	32	+
66	727	32	+
876	952	32	+
439	741	32	+
115	893	32	+
802	917	32	+
250	854	32	+
103	263	32	+
218	266	32	+
895	952	32	+
289	959	32	+
771	870	32	+
200	245	32	+
689	737	32	+
37	466	32	+
38	749	32	+
499	850	32	+
147	977	32	+
660	979	32	+
160	678	32	+
757	798	32	+
11	728	32	+
162	304	32	+
278	475	32	+
14	418	32	+
567	628	32	+
135	437	32	+
254	409	32	+
129	394	32	+
357	718	32	+
166	199	32	+
423	977	32	+
784	855	32	+
560	928	32	+
98	734	32	+
338	625	32	+
465	704	32	+
278	883	32	+
196	292	32	+
104	925	32	+
114	520	32	+
316	448	32	+
463	641	32	+
65	986	32	+
162	823	32	+
604	709	32	+
72	715	32	+
426	908	32	+
13	192	32	+
13	551	32	+
192	551	32	+
125	553	32	+
212	616	32	+
704	902	32	+
775	910	32	+
142	381	32	+
103	494	32	+
174	734	32	+
190	355	32	+
173	877	32	+
93	390	32	+
505	704	32	+
694	869	32	+
496	509	32	+
268	937	32	+
218	619	32	+
315	992	32	+
450	572	32	+
21	221	32	+
83	907	32	+
325	649	32	+
244	401	32	+
72	385	32	+
351	984	32	+
218	519	32	+
135	344	32	+
812	898	32	+
357	833	32	+
233	374	32	+
235	593	32	+
837	838	32	+
315	641	32	+
62	557	32	+
113	380	32	+
55	813	32	+
411	519	32	+
571	823	32	+
81	731	32	+
83	710	32	+
363	836	32	+
363	936	32	+
836	936	32	+
724	867	32	+
431	850	32	+
65	277	32	+
277	986	32	+
328	514	32	+
411	978	32	+
519	978	32	+
61	576	32	+
399	833	32	+
385	784	32	+
525	948	32	+
232	849	32	+
388	977	32	+
473	923	32	+
786	916	32	+
324	367	32	+
324	490	32	+
367	490	32	+
492	892	32	+
160	842	32	+
180	191	32	+
125	741	32	+
587	713	32	+
584	749	32	+
151	372	32	+
151	880	32	+
372	880	32	+
289	644	32	+
221	972	32	+
650	678	32	+
56	871	32	+
75	915	32	+
333	393	32	+
821	834	32	+
439	712	32	+
455	812	32	+
82	608	32	+
1	328	32	+
473	913	32	+
392	725	32	+
587	776	32	+
724	798	32	+
207	888	32	+
216	904	32	+
99	267	32	+
457	853	32	+
249	367	32	+
150	332	32	+
199	355	32	+
255	414	32	+
219	878	32	+
71	266	32	+
666	923	32	+
443	812	32	+
528	809	32	+
185	811	32	+
306	859	32	+
98	531	32	+
38	775	32	+
73	177	32	+
73	722	32	+
565	624	32	+
565	985	32	+
624	985	32	+
348	657	32	+
245	959	32	+
247	505	32	+
151	279	32	+
146	620	32	+
146	990	32	+
620	990	32	+
531	949	32	+
51	565	32	+
206	984	32	+
16	607	32	+
133	872	32	+
1	514	32	+
753	770	32	+
167	463	32	+
339	593	32	+
345	925	32	+
699	906	32	+
199	707	32	+
173	648	32	+
98	949	32	+
373	880	32	+
537	1000	32	+
207	857	32	+
857	888	32	+
218	625	32	+
218	851	32	+
266	625	32	+
266	851	32	+
625	851	32	+
404	878	32	+
404	961	32	+
878	961	32	+
217	362	32	+
725	870	32	+
715	746	32	+
519	633	32	+
633	978	32	+
418	994	32	+
207	290	32	+
381	434	32	+
190	407	32	+
176	652	32	+
765	953	32	+
287	745	32	+
299	645	32	+
291	762	32	+
155	456	32	+
122	702	32	+
380	636	32	+
380	694	32	+
636	694	32	+
98	969	32	+
644	968	32	+
341	447	32	+
71	851	32	+
22	642	32	+
581	951	32	+
328	496	32	+
51	764	32	+
476	840	32	+
20	347	32	+
111	742	32	+
745	963	32	+
154	592	32	+
328	632	32	+
313	361	32	+
185	721	32	+
439	745	32	+
154	372	32	+
154	880	32	+
159	376	32	+
159	875	32	+
376	875	32	+
233	488	32	+
313	368	32	+
645	826	32	+
248	428	32	+
100	303	32	+
410	929	32	+
643	887	32	+
558	858	32	+
967	995	32	+
