191	321	32	+
341	362	32	+
558	702	32	+
480	633	32	+
572	867	32	+
146	620	32	+
43	369	32	+
770	899	32	+
103	631	32	+
581	779	32	+
782	800	32	+
41	119	32	+
290	573	32	+
839	955	32	+
757	867	32	+
235	339	32	+
185	973	32	+
306	325	32	+
415	880	32	+
142	381	32	+
3	465	32	+
3	704	32	+
465	704	32	+
40	218	32	+
862	966	32	+
159	749	32	+
602	801	32	+
867	991	32	+
464	545	32	+
65	986	32	+
107	274	32	+
643	965	32	+
734	760	32	+
734	887	32	+
760	887	32	+
259	844	32	+
355	556	32	+
322	327	32	+
130	498	32	+
629	919	32	+
424	526	32	+
288	896	32	+
205	618	32	+
585	687	32	+
85	872	32	+
212	767	32	+
377	784	32	+
541	816	32	+
241	742	32	+
241	792	32	+
742	792	32	+
414	683	32	+
18	315	32	+
194	457	32	+
618	641	32	+
115	996	32	+
13	352	32	+
34	754	32	+
556	707	32	+
71	856	32	+
14	418	32	+
14	994	32	+
418	994	32	+
170	417	32	+
362	706	32	+
30	968	32	+
287	329	32	+
229	452	32	+
315	858	32	+
159	599	32	+
268	651	32	+
608	935	32	+
300	736	32	+
98	760	32	+
517	934	32	+
328	496	32	+
101	756	32	+
62	290	32	+
181	638	32	+
752	880	32	+
459	786	32	+
620	990	32	+
359	580	32	+
173	789	32	+
450	798	32	+
140	959	32	+
650	678	32	+
495	698	32	+
457	761	32	+
34	306	32	+
34	710	32	+
306	710	32	+
337	792	32	+
376	875	32	+
104	545	32	+
367	490	32	+
158	247	32	+
293	914	32	+
345	945	32	+
473	913	32	+
680	938	32	+
872	883	32	+
71	652	32	+
281	486	32	+
121	651	32	+
40	978	32	+
604	753	32	+
41	837	32	+
669	776	32	+
398	672	32	+
428	926	32	+
65	284	32	+
198	706	32	+
789	945	32	+
299	807	32	+
51	624	32	+
305	597	32	+
12	889	32	+
925	945	32	+
583	979	32	+
164	262	32	+
718	833	32	+
379	534	32	+
426	595	32	+
90	807	32	+
411	701	32	+
138	969	32	+
52	688	32	+
240	624	32	+
240	985	32	+
624	985	32	+
94	457	32	+
236	625	32	+
147	199	32	+
59	956	32	+
916	957	32	+
174	969	32	+
226	527	32	+
226	755	32	+
527	755	32	+
299	448	32	+
567	628	32	+
414	415	32	+
291	762	32	+
779	951	32	+
364	425	32	+
287	352	32	+
83	754	32	+
583	821	32	+
173	877	32	+
161	835	32	+
1	632	32	+
195	626	32	+
93	508	32	+
498	604	32	+
22	510	32	+
16	600	32	+
698	815	32	+
698	947	32	+
815	947	32	+
712	911	32	+
175	250	32	+
289	959	32	+
86	976	32	+
111	792	32	+
166	322	32	+
233	374	32	+
475	659	32	+
22	970	32	+
599	749	32	+
141	967	32	+
209	428	32	+
936	980	32	+
275	571	32	+
24	317	32	+
31	386	32	+
82	706	32	+
77	443	32	+
555	566	32	+
39	633	32	+
606	755	32	+
531	664	32	+
796	805	32	+
579	838	32	+
486	689	32	+
99	712	32	+
612	689	32	+
66	396	32	+
545	925	32	+
427	680	32	+
65	737	32	+
737	986	32	+
426	995	32	+
648	714	32	+
385	715	32	+
313	361	32	+
31	58	32	+
31	728	32	+
58	728	32	+
425	596	32	+
365	592	32	+
365	683	32	+
365	974	32	+
592	683	32	+
592	974	32	+
683	974	32	+
363	936	32	+
159	713	32	+
234	906	32	+
27	534	32	+
421	723	32	+
133	504	32	+
681	915	32	+
363	803	32	+
538	729	32	+
198	362	32	+
505	744	32	+
678	842	32	+
2	385	32	+
2	661	32	+
385	661	32	+
879	944	32	+
353	399	32	+
377	786	32	+
133	788	32	+
174	946	32	+
130	279	32	+
267	712	32	+
112	638	32	+
342	818	32	+
361	371	32	+
238	277	32	+
484	712	32	+
229	366	32	+
366	452	32	+
313	514	32	+
28	191	32	+
