643	887	32	+
446	579	32	+
254	714	32	-
254	595	32	+
595	714	32	-
226	365	32	+
159	676	32	+
626	750	32	+
757	867	32	+
426	995	32	+
335	825	32	+
410	820	32	+
83	480	32	-
30	968	32	+
317	533	32	-
73	722	32	+
485	891	32	+
85	177	32	-
33	110	32	-
189	915	32	+
583	979	32	+
198	362	32	+
198	706	32	+
362	706	32	+
588	832	32	+
301	482	32	+
103	614	32	+
619	918	32	+
857	888	32	+
119	838	32	+
570	765	32	-
463	1001	32	+
151	880	32	+
553	823	32	-
149	279	32	-
556	707	32	+
438	700	32	+
66	957	32	+
448	753	32	-
383	447	32	+
151	582	32	-
57	269	32	+
5	876	32	-
428	605	32	+
209	926	32	-
188	411	32	+
229	366	32	+
616	767	32	+
464	545	32	+
199	556	32	+
235	590	32	-
274	621	32	-
11	968	32	-
11	386	32	+
386	968	32	-
849	871	32	-
255	966	32	-
916	957	32	+
110	948	32	-
370	937	32	+
402	521	32	-
478	494	32	+
702	992	32	+
180	732	32	+
595	908	32	+
410	915	32	-
72	855	32	+
491	957	32	-
585	728	32	+
162	546	32	+
353	399	32	+
381	434	32	+
27	734	32	-
591	987	32	-
591	592	32	+
592	987	32	-
379	643	32	-
177	805	32	+
117	181	32	+
34	754	32	+
140	959	32	+
496	509	32	+
59	865	32	-
230	931	32	-
849	901	32	+
32	572	32	+
176	652	32	+
301	362	32	-
955	1001	32	+
43	672	32	+
185	242	32	+
137	984	32	+
164	249	32	+
21	589	32	+
644	728	32	-
57	808	32	+
235	365	32	-
188	325	32	-
158	744	32	+
69	588	32	+
69	832	32	+
457	562	32	+
127	410	32	+
466	955	32	-
113	666	32	+
446	1002	32	+
423	977	32	+
65	284	32	+
761	864	32	-
71	619	32	+
328	632	32	+
649	882	32	-
58	687	32	+
256	730	32	-
287	745	32	+
129	394	32	+
75	758	32	+
531	602	32	+
164	367	32	+
39	978	32	+
427	680	32	+
427	938	32	+
680	938	32	+
558	702	32	+
348	657	32	+
14	626	32	-
644	968	32	+
379	887	32	-
480	754	32	-
543	893	32	+
802	878	32	-
444	700	32	-
492	892	32	+
188	519	32	+
565	936	32	+
687	797	32	+
46	408	32	-
46	425	32	-
408	425	32	+
56	340	32	+
172	480	32	+
41	837	32	+
570	640	32	-
31	289	32	-
31	497	32	-
31	58	32	+
58	497	32	-
426	908	32	+
426	442	32	-
442	908	32	-
485	741	32	-
73	177	32	+
194	849	32	+
41	561	32	+
836	980	32	+
209	605	32	+
385	855	32	+
473	636	32	+
141	995	32	+
141	442	32	-
442	995	32	-
238	284	32	+
303	755	32	-
138	734	32	+
127	521	32	+
127	909	32	+
521	909	32	+
530	949	32	-
519	738	32	-
53	252	32	+
565	764	32	+
247	517	32	-
218	236	32	+
654	736	32	+
654	815	32	+
736	815	32	+
246	621	32	+
246	930	32	+
246	702	32	-
246	992	32	-
621	930	32	+
621	702	32	-
621	992	32	-
930	992	32	-
702	930	32	-
207	898	32	-
188	988	32	-
720	990	32	+
299	417	32	+
395	852	32	+
523	665	32	-
315	992	32	+
303	711	32	-
667	788	32	-
506	660	32	+
75	402	32	+
512	629	32	+
196	920	32	+
473	694	32	+
361	472	32	+
22	209	32	-
465	704	32	+
25	447	32	+
31	386	32	+
69	375	32	+
9	216	32	+
71	625	32	+
619	625	32	+
801	965	32	+
462	736	32	-
172	738	32	-
453	572	32	+
724	991	32	+
298	949	32	-
626	697	32	+
621	736	32	+
190	556	32	+
144	452	32	+
812	898	32	+
71	559	32	-
119	446	32	+
379	969	32	-
610	833	32	+
647	775	32	+
88	491	32	+
88	877	32	-
491	877	32	-
699	781	32	+
478	617	32	+
31	585	32	+
34	83	32	+
64	690	32	+
235	592	32	-
365	414	32	+
365	966	32	-
414	966	32	-
108	725	32	-
396	877	32	+
396	916	32	+
396	409	32	-
877	916	32	+
409	877	32	-
409	916	32	-
88	813	32	-
27	379	32	+
27	962	32	-
379	962	32	-
172	188	32	+
329	352	32	+
3	465	32	+
3	704	32	+
123	202	32	+
168	235	32	+
7	721	32	+
71	244	32	-
154	924	32	-
301	447	32	-
715	848	32	+
431	781	32	+
1	313	32	+
457	849	32	+
457	847	32	-
847	849	32	-
156	176	32	-
69	362	32	-
136	939	32	-
418	994	32	+
55	967	32	-
375	832	32	+
277	284	32	+
204	424	32	+
37	204	32	-
37	424	32	-
279	604	32	-
149	604	32	+
63	430	32	+
