id1,id2,match_len,is_rc,score
410,518,32,+,240.4987124053157
698,905,32,+,240.25583393236104
471,606,32,+,240.21516284054525
797,866,31,+,240.0857881814435
384,714,32,+,240.04175615544793
575,823,32,+,240.00012602939606
657,976,32,+,239.92138839384944
458,854,32,+,239.6614433659015
246,743,32,+,239.61390021496777
495,513,32,+,239.54399663192672
173,961,32,+,239.51933124737948
251,318,32,+,239.47116963924827
598,774,32,+,239.45254729871476
787,871,32,+,239.28731289627643
375,675,32,+,239.26666892856642
557,701,32,+,239.16791199643163
389,815,32,+,239.15045600496953
369,936,32,+,238.9610868285839
386,588,32,+,238.94983259360737
437,699,32,+,238.94974301679528
880,947,32,+,238.92578545804565
40,836,32,+,238.85980407804865
748,774,32,+,238.83453679694082
74,680,32,+,238.77954521753097
124,552,32,+,238.77615101582023
80,399,32,+,238.77507267452822
71,376,32,+,238.75823592247986
98,483,32,+,238.73885131085518
84,658,32,+,238.70465067292224
266,483,32,+,238.68049288082346
167,234,32,+,238.61997427076605
376,714,32,+,238.6051654829436
526,605,32,+,238.52439366696706
370,631,32,+,238.50082219976522
699,927,32,+,238.48623118808663
624,917,32,+,238.38954751270757
249,621,32,+,238.34947914855488
26,378,32,+,238.28150073319435
132,871,32,+,238.21734297361252
135,280,32,+,238.03244816287153
163,366,32,+,238.02662416945807
649,677,32,+,237.94536866910093
324,906,32,+,237.90792756657672
679,937,32,+,237.86958356595616
121,857,32,+,237.80996974918668
426,937,32,+,237.8030728195947
159,889,31,+,237.77058441322245
218,960,32,+,237.7693220998633
571,866,32,+,237.7684296237538
892,995,32,+,237.70683071317092
64,985,32,+,237.6892366991531
355,749,32,+,237.58456705193265
157,246,32,+,237.57864310230735
537,972,32,+,237.47520014211986
206,572,32,+,237.42641268602236
261,366,32,+,237.41413631413113
84,871,32,+,237.38109228257483
800,964,32,+,237.23432287752655
262,616,32,+,237.19263019685255
854,981,32,+,237.16879197433164
774,840,32,+,237.1671043873619
274,570,32,+,236.99931854449758
425,907,32,+,236.96287274929682
10,385,32,+,236.89126833797175
564,835,32,+,236.68561583557522
504,821,32,+,236.5883215895135
193,848,32,+,236.58824226632964
752,769,32,+,236.5255786696643
712,774,32,+,236.47927626842815
198,555,32,+,236.38926617424087
272,374,32,+,236.36353130632588
126,908,32,+,236.36119382254506
620,735,32,+,236.17796171191392
220,888,32,+,236.14860804748452
337,618,32,+,236.1289805732862
82,906,32,+,235.8824331345417
365,451,32,+,235.7337983185995
759,886,32,+,235.68033703665367
10,584,32,+,235.66514288354475
331,766,32,+,235.60448095226465
305,324,32,+,235.59957515275644
298,447,32,+,235.59495326934035
643,967,32,+,235.58743668302344
13,417,32,+,235.56579985827426
886,968,32,+,235.44110381551423
220,750,32,+,235.4337428389755
21,925,32,+,235.3100569792523
785,854,32,+,235.1057848298202
286,351,29,+,235.09974005653334
452,756,32,+,235.0366283405339
375,598,32,+,234.90264776076262
566,627,32,+,234.85183757409837
33,305,32,+,234.833338515354
273,895,32,+,234.73464952481427
743,821,32,+,234.71125685374733
289,572,32,+,234.66745141093506
144,322,32,+,234.568578619456
74,401,32,+,234.56765541152672
598,748,32,+,234.52622854087136
97,601,32,+,234.45927328036456
490,708,32,+,234.3682013012664
187,479,32,+,234.32245209753475
237,276,32,+,234.24173494934004
198,354,32,+,234.13922573482424
30,727,32,+,234.12852254223824
312,508,32,+,234.12498620430873
479,632,32,+,234.0337206938414
161,484,32,+,234.01466330543494
615,860,32,+,233.97720118522585
410,977,32,+,233.94523096875437
80,952,32,+,233.88456705512522
50,979,32,+,233.8488446543632
537,720,32,+,233.70131892620645
285,338,32,+,233.6928737568911
410,632,31,+,233.41329656969143
109,260,32,+,233.38820395152112
331,615,32,+,233.35659387330452
874,998,32,+,233.26092807499296
162,572,32,+,233.11294202486374
703,901,32,+,233.1061246954812
162,856,32,+,233.09879544944397
153,590,32,+,233.0152639442056
154,243,32,+,232.9631782137214
820,988,32,+,232.95285751396202
20,888,32,+,232.89894414051724
746,748,32,+,232.86288958416858
524,947,32,+,232.86063099719928
272,300,32,+,232.7149946778949
50,564,32,+,232.69685394281
484,822,32,+,232.66925082800117
127,514,32,+,232.6591729085679
926,998,32,+,232.63750605306757
201,547,32,+,232.57901747247843
401,914,32,+,232.57870274984
248,261,32,+,232.48171694942855
235,624,32,+,232.47759201459579
12,328,32,+,232.47182835572045
189,406,32,+,232.36926511401495
194,355,32,+,232.19746271980623
319,645,32,+,232.12049633367187
236,828,32,+,232.09185797236154
621,853,32,+,232.08985468278692
28,778,31,+,232.05112294552018
618,850,32,+,231.97566658131208
324,858,32,+,231.89030906915534
748,840,32,+,231.8403601753548
392,549,32,+,231.8225915676418
924,944,32,+,231.68594695184208
948,964,32,+,231.61845644905495
397,671,32,+,231.60800263304108
409,819,32,+,231.51840148035612
709,906,32,+,231.5084962215256
154,400,32,+,231.46518255586392
430,780,32,+,231.44421607676506
694,823,32,+,231.42990824506344
206,887,32,+,231.39109771724753
712,748,32,+,231.3059854866791
555,706,32,+,231.278250043051
613,755,32,+,231.24191426200986
361,607,32,+,231.218413935596
97,948,32,+,231.20551811731534
339,870,32,+,231.14345170153914
33,82,32,+,231.13363566667687
724,770,32,+,230.92600536782192
28,805,32,+,230.92207430276372
572,838,32,+,230.8794989831829
598,775,32,+,230.86454516556913
620,946,17,-,230.8610553288619
620,946,32,+,230.8610553288619
458,981,32,+,230.83949377321454
714,854,32,+,230.81818044041077
139,199,32,+,230.77927085533304
23,467,32,+,230.55496947115796
385,584,32,+,230.5215054547595
103,924,32,+,230.50176457790417
788,944,32,+,230.49108709391285
97,800,32,+,230.46613368479544
121,314,32,+,230.40561599212234
194,749,32,+,230.26666315758905
291,297,32,+,230.23872810969198
174,853,32,+,230.07061536787873
274,758,32,+,230.0638733643596
402,818,32,+,229.99053731795087
293,828,32,+,229.97102320935736
208,247,32,+,229.9541224934048
391,770,32,+,229.91223022407763
356,717,32,+,229.90223621097664
735,814,32,+,229.89507988755983
570,758,32,+,229.88378478257565
61,358,32,+,229.71998245998884
601,800,32,+,229.64208900484988
295,703,32,+,229.53569754156524
413,591,32,+,229.51712901255416
56,268,32,+,229.46023391612277
14,526,32,+,229.38671407651722
429,511,32,+,229.33706361149618
222,621,32,+,229.30358441642252
275,507,32,+,229.3031172785942
330,378,32,+,229.16655450943333
171,187,32,+,228.9696277725915
187,977,32,+,228.96924261916695
598,840,32,+,228.92227833081395
271,955,32,+,228.80148545074536
298,644,32,+,228.75861215346552
384,785,32,+,228.74187144641607
266,438,32,+,228.6666788300522
356,832,32,+,228.5673904891434
389,540,30,+,228.53724179701595
226,926,32,+,228.536161284421
966,994,32,+,228.52062881109245
289,856,32,+,228.49185814383904
150,308,32,+,228.43324415458522
74,914,32,+,228.3776806266148
553,772,32,+,228.32877816836555
743,904,32,+,228.3143614977501
417,993,32,+,228.29566302446324
362,564,32,-,228.11304840921548
362,564,32,+,228.11304840921548
503,882,32,+,228.0197913598835
155,558,32,+,228.01606608585303
197,607,32,+,227.89354201693632
781,799,32,+,227.85809608209522
302,592,32,+,227.82957604961467
795,804,32,+,227.8019943693298
31,756,32,+,227.7423453044625
31,756,18,-,227.7423453044625
828,932,32,+,227.64127387949915
697,735,32,+,227.6341249738131
31,571,30,+,227.6265080133362
709,858,32,+,227.59613135034456
550,744,32,+,227.48943084138787
423,525,32,+,227.4656895689475
135,485,32,+,227.4521326988429
229,926,32,+,227.4376588418409
421,972,32,+,227.28934719227047
180,938,32,+,227.2551584618662
0,360,32,+,226.97972831170952
0,360,32,-,226.97972831170952
150,153,32,+,226.94342400814406
203,954,32,+,226.92758628353823
320,864,32,+,226.89585698637262
714,783,32,+,226.86337452177938
714,783,30,-,226.86337452177938
246,821,32,+,226.85682014566595
190,731,32,+,226.82951495082918
625,696,32,+,226.82936670936016
229,375,32,+,226.82130200670758
425,594,32,+,226.79845652006176
102,262,32,+,226.78318661456493
72,319,32,+,226.7301390360087
314,857,32,+,226.66600507617468
583,775,31,+,226.6603091112009
171,410,32,+,226.53369352127677
248,489,32,+,226.50081975750786
187,881,32,+,226.4602745047804
64,736,32,+,226.4403249370256
380,433,32,+,226.4178441488262
430,698,32,+,226.34063857393247
160,612,32,+,226.24959177971053
438,711,30,+,226.16644983429293
399,839,32,+,226.16431481321627
167,965,32,+,226.13992788613174
712,746,32,+,226.1182746959876
701,857,32,+,226.08803960394525
180,608,32,+,226.03436015358383
748,775,32,+,226.01659666139776
160,662,32,+,225.98691809983396
237,283,32,+,225.9643912968012
132,658,32,+,225.9253055063191
386,888,32,+,225.9124364315329
696,749,32,+,225.87818709153066
98,266,32,+,225.69437840572053
819,928,32,+,225.69025194937834
618,917,32,+,225.68758219241386
472,693,32,+,225.6198006121337
376,458,32,+,225.61349890089375
632,977,32,+,225.5662025398364
87,490,32,+,225.55862288946034
591,754,32,+,225.48914743154245
536,999,32,+,225.44800525031744
64,237,32,+,225.41542854837323
266,711,32,+,225.38652332974587
719,989,32,+,225.38494167596843
161,890,32,+,225.37320494099654
181,271,32,+,225.29058042217392
137,968,32,+,225.28767747101153
144,932,31,+,225.2527091124525
723,866,32,+,225.24530754916188
263,269,32,+,225.19049591544274
392,921,32,+,225.1339523584367
368,671,23,-,225.07943217095092
368,671,31,+,225.07943217095092
693,912,32,+,225.00674931274585
504,904,32,+,225.00096475460077
70,624,32,+,224.99384087708444
97,862,32,+,224.9653732086663
59,758,32,+,224.9349811097351
3,302,32,+,224.90487121734282
693,868,32,+,224.85849726835414
177,767,32,+,224.84249350954704
620,814,32,+,224.79875725544005
723,756,31,+,224.79601123309524
620,929,32,+,224.7759388948985
659,978,32,+,224.73284666659316
375,774,32,+,224.70943232275596
645,804,32,+,224.6902426900458
424,842,32,+,224.6681860311558
376,854,32,+,224.66366235184324
144,293,32,+,224.65097133746036
276,985,32,+,224.59507739309865
211,860,32,+,224.52635120366665
666,721,32,+,224.45366965356897
449,452,32,+,224.44384992443244
10,727,32,+,224.4297799313987
80,730,32,+,224.36116770883504
300,587,32,+,224.3438004245201
216,361,32,+,224.32000446023073
513,631,32,+,224.2989556582267
537,980,32,+,224.28218733775225
495,508,32,+,224.25253598997182
548,771,32,+,224.24831928176513
617,857,32,+,224.23122810535986
60,940,32,+,224.20687180021085
132,503,32,+,224.14913421729239
201,535,31,+,224.14728931270326
759,968,32,+,224.14429816816204
733,968,32,+,224.11783407122047
582,659,32,+,224.02848254631687
580,950,32,+,224.00163270665774
413,414,32,+,223.8976402050784
288,496,32,+,223.87195766846403
277,503,29,+,223.85773119619262
163,489,32,+,223.83020829475072
403,534,32,+,223.7608116099109
784,856,32,+,223.74552021391395
31,866,29,+,223.74310917384554
132,277,32,+,223.66381820992112
218,534,32,+,223.66026847723353
312,513,32,+,223.58378744942218
241,720,31,+,223.52127059694112
414,591,32,+,223.48657970509623
414,591,23,-,223.48657970509623
74,757,32,+,223.4310376228696
165,406,32,+,223.41767803697724
165,406,32,-,223.41767803697724
177,818,30,+,223.39292504323413
17,557,32,+,223.38721254778775
419,947,31,+,223.33388956051476
176,645,32,+,223.32701653401247
239,935,32,+,223.32121535302872
82,858,29,+,223.27907889356766
598,746,32,+,223.2631452717251
224,983,32,+,223.22070053108328
103,450,32,+,223.19191268640924
65,726,32,+,223.17779013969314
709,753,32,+,223.1709351671009
287,461,32,+,223.1648979939858
783,854,32,+,223.15114302488595
164,723,31,+,223.09101948354913
162,887,31,+,223.08757924003942
276,736,32,+,223.036680740451
313,698,31,+,223.0289317130038
479,881,31,+,222.9792329779747
97,530,32,+,222.96533806087783
736,985,32,+,222.94919883520402
171,518,32,+,222.94776670806846
141,380,32,+,222.7468307435285
364,605,32,+,222.69543481232498
57,584,32,+,222.6458392623075
622,769,32,+,222.63974350944522
61,579,32,+,222.59839411453422
432,566,32,+,222.59668053181775
20,220,32,+,222.5712729913618
193,900,32,+,222.56413041757997
195,291,32,+,222.5524712687214
289,784,32,+,222.5367696968263
322,828,32,+,222.44475533205159
761,801,31,+,222.4311988161239
340,446,32,+,222.38740351741237
327,370,31,+,222.36499781456777
331,860,32,+,222.32160385015302
345,925,32,+,222.25854116982387
753,858,31,+,222.2408457402258
124,740,32,+,222.20666780843004
283,985,32,+,222.18706337520027
58,181,32,+,222.16765991333966
12,744,32,+,222.04878069024332
588,971,32,+,221.97544805869296
50,623,32,+,221.9378050265497
534,877,32,+,221.82345999264706
337,917,32,+,221.81337800789456
557,568,32,+,221.6640760717866
398,832,32,+,221.6070572624212
819,908,32,+,221.60212736310723
508,631,31,+,221.46115237611053
505,978,32,+,221.33330630297507
423,1000,32,+,221.32000948672268
589,754,32,+,221.2459442681447
364,710,32,+,221.08038153729885
24,255,32,+,221.04519091833072
286,328,32,+,221.03561434096216
132,882,30,+,220.86007095295025
374,587,32,+,220.82887148687993
124,541,32,+,220.80433465540392
195,919,32,+,220.79805199274557
119,833,32,+,220.7752204921025
454,465,32,+,220.75790340531108
149,331,32,+,220.71769487801632
100,527,32,+,220.616504204955
552,844,32,+,220.6111055481558
26,330,28,+,220.5413620239207
14,754,32,+,220.42299882813757
305,753,32,+,220.39966990282275
572,887,32,+,220.34869335771958
442,454,32,+,220.32341292091692
514,610,31,+,220.30551149580148
220,971,32,+,220.2314619356122
693,922,32,+,220.21364008464187
358,440,31,+,220.17537751315962
778,805,31,+,220.17241290405994
551,689,32,+,220.0926021486199
206,856,32,+,220.0903959227224
80,475,32,+,220.0860237745445
269,812,32,+,220.03181599636187
158,375,32,+,220.0046431119971
162,289,32,+,219.99179365799142
179,190,32,+,219.9900061380775
36,742,32,+,219.97227531362452
756,990,32,+,219.9171766347663
31,452,32,+,219.91426903096897
118,445,30,+,219.89175261592268
298,806,32,+,219.85099276723292
658,882,32,+,219.81396730032446
137,759,32,+,219.80390704908748
81,197,32,+,219.77208390577306
414,526,32,+,219.7076727769959
442,465,31,+,219.65851632997718
240,499,32,+,219.62332619997596
158,748,32,+,219.51162814418007
624,850,32,+,219.48091223956754
76,442,32,+,219.47724540213937
144,828,32,+,219.4315276436392
3,285,32,+,219.25540217801833
462,764,32,+,219.24606468565747
308,879,32,+,219.23905884902658
113,986,32,+,219.23566040130436
121,557,32,+,219.13026400162573
424,467,32,+,219.11141603943855
935,979,32,+,219.05838021659656
861,965,32,+,219.05511225008976
363,424,32,+,219.02589317404477
285,592,32,+,219.01927368313292
594,907,32,+,218.96367344981925
176,804,31,+,218.93724249592427
656,772,32,+,218.8646479528792
369,433,32,+,218.84448060871253
277,871,32,+,218.81897924567787
668,775,32,+,218.81432335242442
511,628,32,+,218.8083488949537
511,930,32,+,218.76725192472938
237,736,32,+,218.73623315100923
162,784,32,+,218.67934946298078
32,880,31,+,218.66781817648655
82,709,32,+,218.60784043626856
605,754,32,+,218.60572349207115
155,760,32,+,218.5903693922976
338,349,32,+,218.56338799997405
15,471,32,+,218.5150835048442
414,682,32,+,218.4632522953648
877,960,32,+,218.41651619327124
155,793,32,+,218.37039889642756
139,958,32,+,218.2954288032722
530,800,32,+,218.2890738499545
0,370,32,+,218.2471305441153
700,881,32,+,218.19974046864937
40,596,32,+,218.15660710852393
484,890,32,+,218.1313629429654
70,618,32,+,218.0846337102489
384,854,32,+,218.08076892616225
871,882,32,+,218.05312441286515
239,984,32,+,218.01413527637965
20,386,32,+,217.90096186338798
236,293,32,+,217.88495114453733
3,338,32,+,217.86653888566846
70,850,32,+,217.83580587993316
242,687,30,+,217.83015397865273
1,714,29,+,217.80553772197666
723,797,31,+,217.78093404015237
319,721,32,+,217.7353560435521
225,591,32,+,217.7172114892077
12,286,32,+,217.7037967160051
740,962,32,+,217.6959884925758
352,356,32,+,217.62831288941305
60,566,32,+,217.56805644780047
408,654,32,+,217.56518503870757
333,495,31,+,217.53361932527704
134,744,31,+,217.51053150713452
141,267,32,+,217.50964374987768
452,990,32,+,217.50290166239273
228,451,32,+,217.44397120393853
635,693,30,+,217.41171791910955
583,746,32,+,217.3609187897067
163,261,32,+,217.22935781547727
530,964,32,+,217.21363224708105
134,286,32,+,217.13383261516262
886,961,31,+,217.07168760689157
203,838,32,+,216.94752054546748
171,632,32,+,216.91865232242776
305,709,32,+,216.90241794918154
155,468,32,+,216.89289434549121
95,221,32,+,216.86878350389625
623,835,32,+,216.85358829561443
452,866,32,+,216.82026078897348
464,901,32,+,216.7855318527393
805,950,32,+,216.74807819440127
503,658,19,-,216.6716012743889
503,658,32,+,216.6716012743889
2,901,32,+,216.6542114571331
81,607,32,+,216.55132027151706
42,671,32,+,216.5414374929626
147,421,32,+,216.5206591093662
300,374,31,+,216.4914977560021
522,884,32,+,216.44345413060083
0,631,32,+,216.42144564344565
273,461,28,+,216.41701656018918
118,1001,32,+,216.39986515369316
382,446,32,+,216.34546593261965
509,925,32,+,216.32625469485743
305,858,32,+,216.30867557609707
10,796,32,+,216.26653753008094
30,385,32,+,216.24677474768146
369,650,32,+,216.22783142625568
121,617,32,+,216.18385383425272
801,970,32,+,216.13658746058783
84,474,32,+,216.13010389078931
647,812,32,+,216.07216506162663
334,824,32,+,216.05485545169668
334,824,32,-,216.05485545169668
437,528,32,+,215.8623850313897
612,662,30,+,215.83413972819548
255,446,27,+,215.7577323631003
178,267,30,+,215.73582047726373
479,518,32,+,215.70534842694212
324,737,32,+,215.64109633906094
334,724,32,-,215.57424156359212
334,724,32,+,215.57424156359212
81,705,32,+,215.50323203373927
564,935,32,+,215.47622633025534
781,913,26,+,215.4329482889701
596,836,32,+,215.39449320198952
102,616,32,+,215.35696183721043
447,773,32,+,215.34243449774064
189,326,32,+,215.28867716235786
208,427,32,+,215.27560357054614
208,427,32,-,215.27560357054614
731,864,32,+,215.21580593608886
721,883,32,+,215.19098823395709
183,397,29,+,215.15772260077463
83,364,32,+,215.1250644590149
289,887,32,+,215.02902322812093
176,795,32,+,215.02854632346867
672,892,32,+,214.98019021646024
452,723,32,+,214.96586975854146
208,359,32,+,214.94571212455767
158,675,32,+,214.92709298110503
105,259,32,+,214.92628259246234
408,490,32,+,214.9217583733762
242,652,32,+,214.89842468725618
526,589,32,+,214.87875610968743
277,787,32,+,214.86831758582244
700,977,32,+,214.8401486826882
800,948,32,+,214.82822539711404
384,458,32,+,214.8085000136666
443,901,32,+,214.71855513710474
557,857,32,+,214.64983361909924
415,501,32,+,214.56339734169202
113,923,32,+,214.55615722120356
178,369,32,+,214.4478206723444
374,831,29,+,214.43885557183756
367,515,32,+,214.41909544393127
584,796,32,+,214.38836510982048
104,601,32,+,214.19701889348235
472,912,32,+,214.19112404104732
187,632,32,+,214.18856757036622
84,132,32,+,214.15732880988534
340,382,31,+,214.0882789001427
449,866,32,+,214.06531993867995
512,788,32,+,214.03912688056587
528,699,32,+,214.03627212703276
737,753,32,+,214.03261233638784
29,199,32,+,213.99060932424467
766,860,32,+,213.9903335483149
194,696,32,+,213.9609785287413
8,661,32,+,213.94574832072428
385,796,32,+,213.84370205426302
551,943,32,+,213.82427864957347
364,414,32,+,213.78689158601267
131,905,32,+,213.74913054804543
312,370,30,+,213.7201821391885
13,993,29,+,213.7088828393296
746,840,32,+,213.56135467077468
394,851,32,+,213.53801463395124
44,586,30,+,213.46020101005072
60,627,32,+,213.4253480882684
21,641,32,+,213.32177215009477
443,703,32,+,213.30090345569909
270,888,32,+,213.26448365628366
100,755,32,+,213.25055874749134
89,806,32,+,213.25027073483494
833,933,32,+,213.24190704206168
222,249,32,+,213.23844977859233
30,686,32,+,213.23281305511148
344,944,32,+,213.20556373397523
701,991,32,+,213.1811399193332
414,973,32,+,213.16797423508916
252,364,32,+,213.16326881757783
746,774,30,+,213.13866762934214
192,363,32,+,213.10512264456258
440,784,32,+,213.07939905728827
445,596,32,+,213.01820294597542
420,722,32,+,212.97401834603792
812,876,32,+,212.96995935739898
812,876,18,-,212.96995935739898
645,795,32,+,212.9527068817091
140,966,31,+,212.93108308870424
454,897,32,+,212.92099583226786
583,712,32,+,212.90729348076428
282,965,32,+,212.8326209508907
384,783,32,+,212.81205259524947
374,729,32,+,212.79339816475104
456,848,32,+,212.73794897899623
24,340,32,+,212.72822015874993
82,305,32,+,212.67216197998044
178,433,32,+,212.6277309151265
1,783,32,+,212.57628462961873
785,847,31,+,212.54197561914347
628,768,32,+,212.5347278551236
263,441,32,+,212.50883025975654
314,701,32,+,212.4793074813495
283,736,32,+,212.46736466540514
350,983,19,-,212.43248025038145
350,983,32,+,212.43248025038145
802,852,32,+,212.4250823320275
549,921,31,+,212.41732611722836
111,637,32,+,212.39791856965581
217,405,32,+,212.37689910531006
55,339,32,+,212.35838604243688
368,397,29,+,212.3460342413851
368,397,19,-,212.3460342413851
6,184,32,+,212.3292122684251
433,650,32,+,212.23764695411847
493,616,31,+,212.2150959264491
601,862,32,+,212.1991666951709
55,846,32,+,212.19218767701267
823,940,31,+,212.12174354789715
105,629,32,+,212.09815277385187
907,966,32,+,212.05386163966438
217,265,32,+,212.00615292613833
305,906,32,+,212.00359050791133
20,971,32,+,211.97662703288742
668,691,32,+,211.96893962667602
291,919,27,+,211.96501878885326
709,737,32,+,211.9504730149763
224,845,32,+,211.9487425590035
637,817,32,+,211.92942335314595
572,856,32,+,211.92090850855814
126,409,32,+,211.9015772566149
272,587,28,+,211.8680605098433
799,913,31,+,211.83927089956106
7,491,31,+,211.83656185351524
290,970,32,+,211.7900527843466
586,774,32,+,211.74039439359885
430,905,32,+,211.72532475125217
